5.4287,-0.0695896
5.42876,-0.0718166
5.42882,-0.0740097
5.42888,-0.0770255
5.42893,-0.0798216
5.42899,-0.0841319
5.42905,-0.0865257
5.42911,-0.090944
5.42917,-0.0956598
5.42923,-0.100082
5.42929,-0.103488
5.42934,-0.107857
5.4294,-0.112711
5.42946,-0.120521
5.42952,-0.125564
5.42958,-0.128613
5.42964,-0.139002
5.4297,-0.143542
5.42975,-0.15636
5.42981,-0.160754
5.42987,-0.173073
5.42993,-0.182656
5.42999,-0.197784
5.43005,-0.207613
5.43011,-0.232103
5.43016,-0.238644
5.43022,-0.259896
5.43028,-0.276114
5.43034,-0.302589
5.4304,-0.321506
5.43046,-0.356875
5.43052,-0.381984
5.43057,-0.424998
5.43063,-0.468161
5.43069,-0.518587
5.43075,-0.581082
5.43081,-0.660875
5.43087,-0.731294
5.43093,-0.836818
5.43098,-0.961916
5.43104,-1.06438
5.4311,-1.27155
5.43116,-1.41637
5.43122,-1.65039
5.43128,-1.91206
5.43134,-2.04333
5.43139,-2.44693
5.43145,-2.70984
5.43151,-2.92591
5.43157,-3.03222
5.43163,-2.98702
5.43169,-2.87038
5.43175,-2.61697
5.43181,-2.33177
5.43186,-2.00933
5.43192,-1.67951
5.43198,-1.52254
5.43204,-1.32367
5.4321,-1.05051
5.43216,-0.947558
5.43222,-0.815627
5.43227,-0.744261
5.43233,-0.616132
5.43239,-0.55207
5.43245,-0.482567
5.43251,-0.427779
5.43257,-0.386092
5.43263,-0.349372
5.43268,-0.316856
5.43274,-0.278133
5.4328,-0.265801
5.43286,-0.240246
5.43292,-0.217926
5.43298,-0.204104
5.43304,-0.191599
5.43309,-0.170744
5.43315,-0.158892
5.43321,-0.152071
5.43327,-0.13965
5.43333,-0.126806
5.43339,-0.119158
5.43345,-0.112371
5.4335,-0.103135
5.43356,-0.0977887
5.43362,-0.0924786
5.43368,-0.088786
5.43374,-0.0820567
5.4338,-0.0763342
5.43386,-0.0727428
5.43391,-0.0689493
5.43397,-0.0665729
5.43403,-0.0622152
5.43409,-0.0601562
5.43415,-0.0563783
5.43421,-0.0534746
5.43427,-0.0506369
5.43432,-0.0483831
5.43438,-0.0460702
5.43444,-0.0440861
5.4345,-0.0427261
